"","population_group_name","measure_name","location_name","sex_name","age_name","cause_name","metric_name","year","val","upper","lower"
"85","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2018,46.41847889,54.75217665,33.45272208
"86","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2018,43.47576576,50.02033587,34.28430637
"87","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2018,2.964815273,3.504097967,2.303321359
"88","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2018,1.892543526,2.471234329,1.575733461
"89","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2018,26.06163423,31.29125896,22.12614777
"90","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2018,19.4071804,23.58534647,16.67578221
"91","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2018,1.276287413,1.805420682,0.897117465
"92","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2018,1.036845133,1.501120334,0.734783596
"93","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2018,103.0100061,117.1521947,89.97248299
"94","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2018,89.77385302,102.6192095,77.87204817
"95","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2018,6.481778862,7.719926743,5.431196296
"96","All Population","Deaths","Global","Female","20-54 years","Chronic kidney disease","Rate",2018,5.060591936,6.086859162,4.200534405
"97","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2019,25.57957834,30.73233235,21.66106004
"98","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2019,19.08693833,22.87784514,16.41938963
"99","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2019,1.269240638,1.763016251,0.884632636
"100","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2019,1.039357148,1.503833724,0.741686208
"101","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2019,102.186119,116.2835296,89.06496319
"102","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2019,89.06331495,102.0642816,75.79634815
"103","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2019,6.472127406,7.77580798,5.425036252
"104","All Population","Deaths","Global","Female","20-54 years","Chronic kidney disease","Rate",2019,5.10868662,6.246623446,4.230275445
"105","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2020,25.54180221,30.65255145,21.36026963
"106","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2020,19.04018985,23.06375344,16.12686833
"107","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2020,1.279053277,1.845081017,0.904493397
"108","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2020,1.050316623,1.534762495,0.729421954
"109","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2020,103.3736748,117.6235606,89.94500033
"110","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2020,88.85699839,102.1608342,75.70675454
"111","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2020,6.498074583,7.884523108,5.40048262
"112","All Population","Deaths","Global","Female","20-54 years","Chronic kidney disease","Rate",2020,5.169804614,6.337078156,4.272272874
"113","All Population","Deaths","China","Male","55-59 years","Chronic kidney disease","Rate",2019,9.74941336,11.53045242,6.844268191
"114","All Population","Deaths","China","Female","55-59 years","Chronic kidney disease","Rate",2019,6.697635601,8.604527004,5.349030434
"115","All Population","Deaths","China","Male","<20 years","Chronic kidney disease","Rate",2019,0.232222591,0.322340429,0.171107156
"116","All Population","Deaths","China","Female","<20 years","Chronic kidney disease","Rate",2019,0.221401101,0.318211581,0.153180818
"117","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2019,42.21016906,49.10542341,31.44921422
"118","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2019,39.48422738,45.48065135,29.4602694
"119","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2019,2.773177154,3.291678429,2.144230386
"120","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2019,1.781233151,2.344026535,1.494396161
"121","All Population","Deaths","China","Male","55-59 years","Chronic kidney disease","Rate",2020,9.487575859,11.04609595,6.701930986
"122","All Population","Deaths","China","Female","55-59 years","Chronic kidney disease","Rate",2020,6.481613416,8.296030078,5.30156151
"123","All Population","Deaths","China","Male","<20 years","Chronic kidney disease","Rate",2020,0.22145728,0.300990957,0.155886756
"124","All Population","Deaths","China","Female","<20 years","Chronic kidney disease","Rate",2020,0.215785115,0.317337213,0.151195356
"125","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2020,40.06755077,46.36666936,30.43305659
"126","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2020,37.25361581,43.55657665,29.97786377
"127","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2020,2.640611756,3.170981699,2.054395839
"128","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2020,1.698983788,2.31308812,1.415491128
"129","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2021,26.62496007,32.19632209,22.06275789
"130","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2021,19.94628988,24.10158433,16.53537559
"131","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2021,1.296110613,1.888205351,0.921063778
"132","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2021,1.067778958,1.534262268,0.72532394
"133","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2021,105.4450697,120.3947491,92.22486388
"134","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2021,90.04663687,103.6855512,76.69790005
"135","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2021,6.88580007,8.299623351,5.74290975
"136","All Population","Deaths","Global","Female","20-54 years","Chronic kidney disease","Rate",2021,5.431946808,6.719782711,4.412210509
"137","All Population","Deaths","China","Male","55-59 years","Chronic kidney disease","Rate",2021,10.63525278,12.91143136,7.36396058
"138","All Population","Deaths","China","Female","55-59 years","Chronic kidney disease","Rate",2021,7.052702509,9.277182027,5.428713152
"139","All Population","Deaths","China","Male","<20 years","Chronic kidney disease","Rate",2021,0.212870984,0.297335168,0.15152527
"140","All Population","Deaths","China","Female","<20 years","Chronic kidney disease","Rate",2021,0.215502168,0.315795147,0.145526377
"141","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2021,43.81389912,50.66890405,33.2545972
