population_group_name,measure_name,location_name,sex_name,age_name,cause_name,metric_name,year,val,upper,lower
All Population,Deaths,China,Female,20-54 years,Chronic kidney disease,Rate,2017,1.990388819,2.620424426,1.671589714
All Population,Deaths,Global,Male,55-59 years,Chronic kidney disease,Rate,2017,26.65719945,32.25364655,22.66278894
All Population,Deaths,Global,Female,55-59 years,Chronic kidney disease,Rate,2017,19.84565651,24.22536025,17.03997293
All Population,Deaths,Global,Male,<20 years,Chronic kidney disease,Rate,2017,1.274009262,1.758773467,0.903362035
All Population,Deaths,Global,Female,<20 years,Chronic kidney disease,Rate,2017,1.033574452,1.499030059,0.735381168
All Population,Deaths,Global,Male,60+ years,Chronic kidney disease,Rate,2017,104.4290709,118.3930958,91.60364364
All Population,Deaths,Global,Female,60+ years,Chronic kidney disease,Rate,2017,90.99659878,104.3269036,78.60291766
All Population,Deaths,Global,Male,20-54 years,Chronic kidney disease,Rate,2017,6.533223519,7.797838816,5.473629721
All Population,Deaths,Global,Female,20-54 years,Chronic kidney disease,Rate,2017,5.051649924,6.104583203,4.227827811
All Population,Deaths,China,Male,55-59 years,Chronic kidney disease,Rate,2018,10.2716013,12.38327647,6.949714553
All Population,Deaths,China,Female,55-59 years,Chronic kidney disease,Rate,2018,7.083553651,8.90081316,5.521387322
All Population,Deaths,China,Male,<20 years,Chronic kidney disease,Rate,2018,0.249765525,0.342753923,0.183336781
All Population,Deaths,China,Female,<20 years,Chronic kidney disease,Rate,2018,0.2324787,0.325993518,0.167705966
All Population,Deaths,China,Male,60+ years,Chronic kidney disease,Rate,2018,46.41847889,54.75217665,33.45272208
All Population,Deaths,China,Female,60+ years,Chronic kidney disease,Rate,2018,43.47576576,50.02033587,34.28430637
All Population,Deaths,China,Male,20-54 years,Chronic kidney disease,Rate,2018,2.964815273,3.504097967,2.303321359
All Population,Deaths,China,Female,20-54 years,Chronic kidney disease,Rate,2018,1.892543526,2.471234329,1.575733461
All Population,Deaths,Global,Male,55-59 years,Chronic kidney disease,Rate,2018,26.06163423,31.29125896,22.12614777
All Population,Deaths,Global,Female,55-59 years,Chronic kidney disease,Rate,2018,19.4071804,23.58534647,16.67578221
All Population,Deaths,Global,Male,<20 years,Chronic kidney disease,Rate,2018,1.276287413,1.805420682,0.897117465
All Population,Deaths,Global,Female,<20 years,Chronic kidney disease,Rate,2018,1.036845133,1.501120334,0.734783596
All Population,Deaths,Global,Male,60+ years,Chronic kidney disease,Rate,2018,103.0100061,117.1521947,89.97248299
All Population,Deaths,Global,Female,60+ years,Chronic kidney disease,Rate,2018,89.77385302,102.6192095,77.87204817
All Population,Deaths,Global,Male,20-54 years,Chronic kidney disease,Rate,2018,6.481778862,7.719926743,5.431196296
All Population,Deaths,Global,Female,20-54 years,Chronic kidney disease,Rate,2018,5.060591936,6.086859162,4.200534405
All Population,Deaths,Global,Male,55-59 years,Chronic kidney disease,Rate,2019,25.57957834,30.73233235,21.66106004
All Population,Deaths,Global,Female,55-59 years,Chronic kidney disease,Rate,2019,19.08693833,22.87784514,16.41938963
All Population,Deaths,Global,Male,<20 years,Chronic kidney disease,Rate,2019,1.269240638,1.763016251,0.884632636
All Population,Deaths,Global,Female,<20 years,Chronic kidney disease,Rate,2019,1.039357148,1.503833724,0.741686208
All Population,Deaths,Global,Male,60+ years,Chronic kidney disease,Rate,2019,102.186119,116.2835296,89.06496319
All Population,Deaths,Global,Female,60+ years,Chronic kidney disease,Rate,2019,89.06331495,102.0642816,75.79634815
All Population,Deaths,Global,Male,20-54 years,Chronic kidney disease,Rate,2019,6.472127406,7.77580798,5.425036252
All Population,Deaths,Global,Female,20-54 years,Chronic kidney disease,Rate,2019,5.10868662,6.246623446,4.230275445
All Population,Deaths,Global,Male,55-59 years,Chronic kidney disease,Rate,2020,25.54180221,30.65255145,21.36026963
All Population,Deaths,Global,Female,55-59 years,Chronic kidney disease,Rate,2020,19.04018985,23.06375344,16.12686833
All Population,Deaths,Global,Male,<20 years,Chronic kidney disease,Rate,2020,1.279053277,1.845081017,0.904493397
All Population,Deaths,Global,Female,<20 years,Chronic kidney disease,Rate,2020,1.050316623,1.534762495,0.729421954
All Population,Deaths,Global,Male,60+ years,Chronic kidney disease,Rate,2020,103.3736748,117.6235606,89.94500033
All Population,Deaths,Global,Female,60+ years,Chronic kidney disease,Rate,2020,88.85699839,102.1608342,75.70675454
All Population,Deaths,Global,Male,20-54 years,Chronic kidney disease,Rate,2020,6.498074583,7.884523108,5.40048262
All Population,Deaths,Global,Female,20-54 years,Chronic kidney disease,Rate,2020,5.169804614,6.337078156,4.272272874
All Population,Deaths,China,Male,55-59 years,Chronic kidney disease,Rate,2019,9.74941336,11.53045242,6.844268191
All Population,Deaths,China,Female,55-59 years,Chronic kidney disease,Rate,2019,6.697635601,8.604527004,5.349030434
All Population,Deaths,China,Male,<20 years,Chronic kidney disease,Rate,2019,0.232222591,0.322340429,0.171107156
